KOActivity_1,KOActivity_2,KOActivity_3,Number of checks to be executed according to the suggestion,Minimum Check Number (Ideal Processing),Check Overprocessing
4444,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4450,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4470,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4479,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4491,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4492,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4493,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4494,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4497,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4509,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4521,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4522,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4526,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
4529,IdCancellation,PostFundingCancellation,CreditDecision,3,1,2
4530,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
4531,IdCancellation,PostFundingCancellation,CreditDecision,3,1,2
4532,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
4541,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
4543,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4545,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4547,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4553,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4554,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
4557,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
4560,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4565,CreditDecision,PostFundingCancellation,IdCancellation,1,1,0
4568,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4569,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4572,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4574,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4578,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4581,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4584,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4587,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4588,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4597,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4622,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4627,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4630,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4641,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4646,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4655,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4657,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4658,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4661,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4671,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
4676,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4686,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4690,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4697,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4706,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4721,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4723,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4729,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4746,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4753,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4761,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4771,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4773,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
4779,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
4782,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4790,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
4791,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4801,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4804,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4808,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
4817,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4819,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4825,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4837,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
4847,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
4856,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4857,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4861,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
4862,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4863,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4864,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4878,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4885,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4890,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4895,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4897,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4903,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4917,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4920,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
4925,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4928,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4938,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4940,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
4960,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
4978,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4980,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
4981,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4987,PostFundingCancellation,CreditDecision,IdCancellation,2,1,1
4990,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4998,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5000,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
5002,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5007,IdCancellation,PostFundingCancellation,CreditDecision,3,1,2
5011,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5013,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5016,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5030,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5036,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5040,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5047,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5058,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5073,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5077,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5080,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5081,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5095,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5096,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5097,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5099,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5116,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5124,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
5130,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5132,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5135,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5153,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5155,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5162,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5169,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5170,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5173,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5179,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5183,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5187,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5193,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5202,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5207,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5218,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5220,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5221,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5228,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5230,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5232,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5239,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5252,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5264,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5266,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5269,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5275,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5277,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5280,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5282,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5291,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5296,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5297,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5310,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5315,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5319,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5322,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5328,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5332,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5358,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5359,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5362,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5365,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5370,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5372,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5388,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5394,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5395,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5401,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5403,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5406,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5411,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5414,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5416,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5432,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
5444,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5447,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5460,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5463,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5487,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
5490,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
5491,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
5494,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5498,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5505,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5506,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5512,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5519,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
5521,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5525,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5531,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
5536,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5548,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5552,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5562,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5563,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5566,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5568,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5570,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5573,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5577,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5579,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5584,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5595,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5597,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5607,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5611,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5614,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5622,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5623,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5636,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5640,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5651,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5654,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5662,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5670,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
5675,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5689,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5693,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5699,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
5702,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5705,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5719,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5728,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5737,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5739,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5742,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5745,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5746,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5749,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5750,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5754,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5756,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5769,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5772,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5782,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5785,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
5786,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5788,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5790,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5800,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5801,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5802,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5805,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5806,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5807,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
5817,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
