Case ID,Activity,Resource,Complete Timestamp,Variant,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-10024,T05 Print and send confirmation of receipt,Resource03,2011/10/18 16:54:06.717,Variant 1,Internet,General,Group 8,Resource11,task-43730,complete,Group 2
case-10024,T06 Determine necessity of stop advice,Resource03,2011/10/18 16:54:24.121,Variant 1,Internet,General,Group 8,Resource11,task-43728,complete,Group 1
case-10024,T10 Determine necessity to stop indication,Resource03,2011/10/18 16:57:18.847,Variant 1,Internet,General,Group 8,Resource11,task-43731,complete,Group 1
case-10024,End,End,2011/10/18 16:57:18.847,Variant 1,End,End,End,End,End,End,End
case-10025,Confirmation of receipt,Resource03,2011/10/25 10:27:08.484,Variant 1,Internet,General,Group 8,Resource11,task-43231,complete,EMPTY
case-10025,T02 Check confirmation of receipt,Resource03,2011/10/25 10:27:27.316,Variant 1,Internet,General,Group 8,Resource11,task-44375,complete,Group 4
case-10025,T04 Determine confirmation of receipt,Resource03,2011/10/25 10:27:46.307,Variant 1,Internet,General,Group 8,Resource11,task-44377,complete,Group 3
case-10025,T05 Print and send confirmation of receipt,Resource03,2011/10/25 10:28:00.504,Variant 1,Internet,General,Group 8,Resource11,task-44379,complete,Group 2
case-10025,T06 Determine necessity of stop advice,Resource03,2011/10/25 10:28:15.484,Variant 1,Internet,General,Group 8,Resource11,task-44376,complete,Group 1
case-10025,T10 Determine necessity to stop indication,Resource03,2011/10/25 10:28:33.002,Variant 1,Internet,General,Group 8,Resource11,task-44380,complete,Group 1
case-10025,End,End,2011/10/25 10:28:33.002,Variant 1,End,End,End,End,End,End,End
case-10028,Confirmation of receipt,Resource03,2011/10/25 15:13:10.744,Variant 11,Internet,General,Group 8,Resource11,task-43250,complete,EMPTY
case-10028,T02 Check confirmation of receipt,Resource03,2011/10/25 15:13:31.837,Variant 11,Internet,General,Group 8,Resource11,task-44467,complete,Group 4
case-10028,T04 Determine confirmation of receipt,Resource03,2011/10/25 15:13:49.542,Variant 11,Internet,General,Group 8,Resource11,task-44469,complete,Group 3
case-10028,T05 Print and send confirmation of receipt,Resource03,2011/10/25 15:14:24.249,Variant 11,Internet,General,Group 8,Resource11,task-44470,complete,Group 2
case-10028,T06 Determine necessity of stop advice,Resource03,2011/10/25 15:22:15.239,Variant 11,Internet,General,Group 8,Resource11,task-44468,complete,Group 1
case-10028,T10 Determine necessity to stop indication,Resource03,2011/10/25 15:23:06.272,Variant 11,Internet,General,Group 8,Resource11,task-44471,complete,Group 1
case-10028,T16 Report reasons to hold request,Resource03,2011/10/25 15:23:58.755,Variant 11,Internet,General,Group 8,Resource11,task-44472,complete,Group 1
case-10028,T17 Check report Y to stop indication,Resource03,2011/10/25 15:24:22.922,Variant 11,Internet,General,Group 8,Resource11,task-44473,complete,Group 4
case-10028,T19 Determine report Y to stop indication,Resource03,2011/10/25 15:24:55.079,Variant 11,Internet,General,Group 8,Resource11,task-44474,complete,Group 3
case-10028,T20 Print report Y to stop indication,Resource03,2011/10/25 15:25:10.989,Variant 11,Internet,General,Group 8,Resource11,task-44475,complete,Group 2
case-10028,End,End,2011/10/25 15:25:10.989,Variant 11,End,End,End,End,End,End,End
case-10059,Confirmation of receipt,Resource06,2011/10/17 16:31:27.570,Variant 1,Internet,General,Group 5,Resource06,task-43463,complete,EMPTY
case-10059,T02 Check confirmation of receipt,Resource06,2011/10/17 16:31:51.615,Variant 1,Internet,General,Group 5,Resource06,task-43499,complete,Group 4
case-10059,T04 Determine confirmation of receipt,Resource06,2011/10/17 16:32:34.591,Variant 1,Internet,General,Group 5,Resource06,task-43501,complete,Group 3
case-10059,T05 Print and send confirmation of receipt,Resource06,2011/10/17 16:33:42.796,Variant 1,Internet,General,Group 5,Resource06,task-43503,complete,Group 2
case-10059,T06 Determine necessity of stop advice,Resource06,2011/10/17 16:34:25.518,Variant 1,Internet,General,Group 5,Resource06,task-43500,complete,Group 1
case-10059,T10 Determine necessity to stop indication,Resource06,2011/10/17 16:41:19.472,Variant 1,Internet,General,Group 5,Resource06,task-43504,complete,Group 1
case-10059,End,End,2011/10/17 16:41:19.472,Variant 1,End,End,End,End,End,End,End
case-10061,Confirmation of receipt,Resource03,2011/10/24 16:00:50.433,Variant 2,Internet,General,Group 8,Resource11,task-43657,complete,EMPTY
case-10061,T06 Determine necessity of stop advice,Resource03,2011/10/24 16:01:21.907,Variant 2,Internet,General,Group 8,Resource11,task-44274,complete,Group 1
case-10061,T10 Determine necessity to stop indication,Resource03,2011/10/24 16:01:44.536,Variant 2,Internet,General,Group 8,Resource11,task-44275,complete,Group 1
case-10061,T02 Check confirmation of receipt,Resource03,2011/10/24 16:01:59.826,Variant 2,Internet,General,Group 8,Resource11,task-44273,complete,Group 4
case-10061,T04 Determine confirmation of receipt,Resource03,2011/10/24 16:02:16.227,Variant 2,Internet,General,Group 8,Resource11,task-44277,complete,Group 3
case-10061,T05 Print and send confirmation of receipt,Resource03,2011/10/24 16:02:32.399,Variant 2,Internet,General,Group 8,Resource11,task-44279,complete,Group 2
case-10061,End,End,2011/10/24 16:02:32.399,Variant 2,End,End,End,End,End,End,End
case-10065,Confirmation of receipt,Resource06,2011/10/28 11:31:29.136,Variant 1,Internet,General,Group 5,Resource06,task-43698,complete,EMPTY
case-10065,T02 Check confirmation of receipt,Resource06,2011/10/28 11:31:49.811,Variant 1,Internet,General,Group 5,Resource06,task-44947,complete,Group 4
case-10065,T04 Determine confirmation of receipt,Resource06,2011/10/28 11:32:08.374,Variant 1,Internet,General,Group 5,Resource06,task-44949,complete,Group 3
case-10065,T05 Print and send confirmation of receipt,Resource06,2011/10/28 11:32:49.753,Variant 1,Internet,General,Group 5,Resource06,task-44950,complete,Group 2
case-10065,T06 Determine necessity of stop advice,Resource06,2011/10/28 11:45:06.394,Variant 1,Internet,General,Group 5,Resource06,task-44948,complete,Group 1
case-10065,T10 Determine necessity to stop indication,Resource06,2011/10/28 12:01:50.118,Variant 1,Internet,General,Group 5,Resource06,task-44955,complete,Group 1
case-10065,End,End,2011/10/28 12:01:50.118,Variant 1,End,End,End,End,End,End,End
case-10066,Confirmation of receipt,Resource22,2011/11/22 14:46:36.256,Variant 1,Internet,General,Group 5,Resource22,task-43721,complete,EMPTY
case-10066,T02 Check confirmation of receipt,Resource22,2011/11/22 14:48:39.989,Variant 1,Internet,General,Group 5,Resource22,task-47561,complete,Group 4
case-10066,T04 Determine confirmation of receipt,Resource22,2011/11/22 14:49:21.982,Variant 1,Internet,General,Group 5,Resource22,task-47565,complete,Group 3
case-10066,T05 Print and send confirmation of receipt,Resource22,2011/11/22 14:52:51.629,Variant 1,Internet,General,Group 5,Resource22,task-47570,complete,Group 2
case-10066,T06 Determine necessity of stop advice,Resource22,2011/11/22 14:57:59.101,Variant 1,Internet,General,Group 5,Resource22,task-47562,complete,Group 1
case-10066,T10 Determine necessity to stop indication,Resource22,2011/11/22 14:59:50.916,Variant 1,Internet,General,Group 5,Resource22,task-47579,complete,Group 1
case-10066,End,End,2011/11/22 14:59:50.916,Variant 1,End,End,End,End,End,End,End
case-10067,Confirmation of receipt,Resource13,2011/11/09 21:39:03.392,Variant 1,Internet,General,Group 5,Resource13,task-43787,complete,EMPTY
case-10067,T02 Check confirmation of receipt,Resource13,2011/11/09 21:39:34.137,Variant 1,Internet,General,Group 5,Resource13,task-46129,complete,EMPTY
case-10067,T04 Determine confirmation of receipt,Resource13,2011/11/09 21:40:02.334,Variant 1,Internet,General,Group 5,Resource13,task-46131,complete,EMPTY
case-10067,T05 Print and send confirmation of receipt,Resource13,2011/11/09 21:40:26.677,Variant 1,Internet,General,Group 5,Resource13,task-46132,complete,EMPTY
case-10067,T06 Determine necessity of stop advice,Resource13,2011/11/09 21:40:49.698,Variant 1,Internet,General,Group 5,Resource13,task-46130,complete,Group 1
case-10067,T10 Determine necessity to stop indication,Resource13,2011/11/09 21:41:13.745,Variant 1,Internet,General,Group 5,Resource13,task-46133,complete,Group 1
case-10067,End,End,2011/11/09 21:41:13.745,Variant 1,End,End,End,End,End,End,End
case-10068,Confirmation of receipt,Resource20,2011/10/20 13:39:37.946,Variant 1,Internet,General,Group 5,Resource06,task-43788,complete,EMPTY
case-10068,T02 Check confirmation of receipt,Resource20,2011/10/20 13:40:07.912,Variant 1,Internet,General,Group 5,Resource06,task-43991,complete,Group 4
case-10068,T04 Determine confirmation of receipt,Resource20,2011/10/20 13:40:31.903,Variant 1,Internet,General,Group 5,Resource06,task-43993,complete,Group 3
case-10068,T05 Print and send confirmation of receipt,Resource20,2011/10/20 13:41:02.031,Variant 1,Internet,General,Group 5,Resource06,task-43994,complete,Group 2
case-10068,T06 Determine necessity of stop advice,Resource20,2011/10/20 13:41:28.600,Variant 1,Internet,General,Group 5,Resource06,task-43992,complete,Group 1
case-10068,T10 Determine necessity to stop indication,Resource20,2011/10/20 13:42:01.990,Variant 1,Internet,General,Group 5,Resource06,task-43995,complete,Group 1
case-10068,End,End,2011/10/20 13:42:01.990,Variant 1,End,End,End,End,End,End,End
case-10069,Confirmation of receipt,Resource08,2011/11/07 16:10:10.205,Variant 1,Internet,General,Group 5,Resource08,task-43792,complete,EMPTY
case-10069,T02 Check confirmation of receipt,Resource08,2011/11/07 16:11:51.689,Variant 1,Internet,General,Group 5,Resource08,task-45608,complete,EMPTY
case-10069,T04 Determine confirmation of receipt,Resource08,2011/11/07 16:12:53.254,Variant 1,Internet,General,Group 5,Resource08,task-45610,complete,EMPTY
case-10069,T05 Print and send confirmation of receipt,Resource08,2011/11/07 16:13:17.976,Variant 1,Internet,General,Group 5,Resource08,task-45611,complete,EMPTY
case-10069,T06 Determine necessity of stop advice,Resource08,2011/11/07 16:14:49.848,Variant 1,Internet,General,Group 5,Resource08,task-45609,complete,Group 1
case-10069,T10 Determine necessity to stop indication,Resource08,2011/11/07 16:16:47.427,Variant 1,Internet,General,Group 5,Resource08,task-45612,complete,Group 1
case-10069,End,End,2011/11/07 16:16:47.427,Variant 1,End,End,End,End,End,End,End
case-10070,Confirmation of receipt,Resource13,2011/11/09 20:43:25.050,Variant 15,Internet,General,Group 5,Resource13,task-43793,complete,EMPTY
case-10070,T06 Determine necessity of stop advice,Resource13,2011/11/09 20:43:50.463,Variant 15,Internet,General,Group 5,Resource13,task-46107,complete,Group 1
case-10070,T02 Check confirmation of receipt,Resource13,2011/11/09 20:44:27.071,Variant 15,Internet,General,Group 5,Resource13,task-46106,complete,EMPTY
case-10070,T04 Determine confirmation of receipt,Resource13,2011/11/09 20:44:58.894,Variant 15,Internet,General,Group 5,Resource13,task-46109,complete,EMPTY
case-10070,T10 Determine necessity to stop indication,Resource13,2011/11/09 20:45:21.385,Variant 15,Internet,General,Group 5,Resource13,task-46108,complete,Group 1
case-10070,T05 Print and send confirmation of receipt,Resource13,2011/11/09 20:48:48.443,Variant 15,Internet,General,Group 5,Resource13,task-46110,complete,Group 2
case-10070,End,End,2011/11/09 20:48:48.443,Variant 15,End,End,End,End,End,End,End
case-10071,Confirmation of receipt,Resource21,2011/10/19 10:56:55.204,Variant 7,Internet,General,Group 2,Resource21,task-43844,complete,Group 1
case-10071,T02 Check confirmation of receipt,Resource21,2011/10/19 10:57:39.722,Variant 7,Internet,General,Group 2,Resource21,task-43846,complete,Group 4
case-10071,T04 Determine confirmation of receipt,Resource21,2011/10/19 10:58:15.323,Variant 7,Internet,General,Group 2,Resource21,task-43848,complete,Group 3
case-10071,T05 Print and send confirmation of receipt,Resource21,2011/10/19 10:58:36.018,Variant 7,Internet,General,Group 2,Resource21,task-43849,complete,Group 2
case-10071,T06 Determine necessity of stop advice,Resource21,2011/10/19 10:58:54.326,Variant 7,Internet,General,Group 2,Resource21,task-43847,complete,Group 1
case-10071,T10 Determine necessity to stop indication,Resource21,2011/10/20 15:06:59.060,Variant 7,Internet,General,Group 2,Resource21,task-43850,complete,Group 1
case-10071,T11 Create document X request unlicensed,Resource21,2012/01/18 10:48:33.680,Variant 7,Internet,General,Group 2,Resource21,task-44022,complete,Group 1
case-10071,T12 Check document X request unlicensed,Resource21,2012/01/18 10:49:09.359,Variant 7,Internet,General,Group 2,Resource21,task-53047,complete,Group 4
case-10071,T14 Determine document X request unlicensed,Resource21,2012/01/18 10:49:44.753,Variant 7,Internet,General,Group 2,Resource21,task-53049,complete,Group 3
case-10071,T15 Print document X request unlicensed,Resource21,2012/01/18 10:50:57.577,Variant 7,Internet,General,Group 2,Resource21,task-53051,complete,Group 2
case-10071,End,End,2012/01/18 10:50:57.577,Variant 7,End,End,End,End,End,End,End
case-10072,Confirmation of receipt,Resource02,2011/10/31 12:09:14.275,Variant 1,Internet,General,,admin1,task-43796,complete,EMPTY
case-10072,T02 Check confirmation of receipt,Resource02,2011/10/31 12:10:03.929,Variant 1,Internet,General,,admin1,task-45103,complete,Group 4
case-10072,T04 Determine confirmation of receipt,Resource02,2011/10/31 12:10:37.260,Variant 1,Internet,General,,admin1,task-45105,complete,Group 3
case-10072,T05 Print and send confirmation of receipt,Resource02,2011/10/31 12:10:54.423,Variant 1,Internet,General,,admin1,task-45106,complete,Group 2
case-10072,T06 Determine necessity of stop advice,Resource02,2011/10/31 12:36:38.174,Variant 1,Internet,General,,admin1,task-45104,complete,Group 1
case-10072,T10 Determine necessity to stop indication,Resource02,2011/10/31 12:37:11.319,Variant 1,Internet,General,,admin1,task-45129,complete,Group 1
case-10072,End,End,2011/10/31 12:37:11.319,Variant 1,End,End,End,End,End,End,End
case-10073,Confirmation of receipt,Resource22,2011/11/29 15:28:08.930,Variant 33,Internet,General,Group 5,Resource22,task-43868,complete,EMPTY
case-10073,T02 Check confirmation of receipt,Resource22,2011/11/29 15:40:03.247,Variant 33,Internet,General,Group 5,Resource22,task-48486,complete,Group 4
case-10073,T04 Determine confirmation of receipt,Resource22,2011/11/29 15:40:32.371,Variant 33,Internet,General,Group 5,Resource22,task-48490,complete,Group 3
case-10073,T05 Print and send confirmation of receipt,Resource22,2011/11/29 15:41:12.227,Variant 33,Internet,General,Group 5,Resource22,task-48491,complete,Group 2
case-10073,T07-1 Draft intern advice aspect 1,Resource22,2011/11/30 11:53:50.203,Variant 33,Internet,General,Group 5,Resource22,task-48493,complete,Group 13
case-10073,T08 Draft and send request for advice,Resource22,2011/11/30 11:54:46.581,Variant 33,Internet,General,Group 5,Resource22,task-48492,complete,Group 1
case-10073,T09-1 Process or receive external advice from party 1,Resource22,2011/11/30 12:02:33.530,Variant 33,Internet,General,Group 5,Resource22,task-48562,complete,Group 1
case-10073,T06 Determine necessity of stop advice,Resource22,2011/11/30 12:04:28.307,Variant 33,Internet,General,Group 5,Resource22,task-48563,complete,Group 1
case-10073,T10 Determine necessity to stop indication,Resource22,2011/11/30 12:05:12.807,Variant 33,Internet,General,Group 5,Resource22,task-48564,complete,Group 1
case-10073,End,End,2011/11/30 12:05:12.807,Variant 33,End,End,End,End,End,End,End
case-10087,Confirmation of receipt,Resource03,2011/10/24 16:57:27.372,Variant 1,Internet,General,Group 8,Resource11,task-43905,complete,EMPTY
case-10087,T02 Check confirmation of receipt,Resource03,2011/10/24 16:57:45.747,Variant 1,Internet,General,Group 8,Resource11,task-44298,complete,Group 4
case-10087,T04 Determine confirmation of receipt,Resource03,2011/10/24 16:58:02.043,Variant 1,Internet,General,Group 8,Resource11,task-44300,complete,Group 3
case-10087,T05 Print and send confirmation of receipt,Resource03,2011/10/24 16:58:19.298,Variant 1,Internet,General,Group 8,Resource11,task-44301,complete,Group 2
case-10087,T06 Determine necessity of stop advice,Resource03,2011/10/24 16:58:34.305,Variant 1,Internet,General,Group 8,Resource11,task-44299,complete,Group 1
case-10087,T10 Determine necessity to stop indication,Resource03,2011/10/24 16:58:55.006,Variant 1,Internet,General,Group 8,Resource11,task-44302,complete,Group 1
case-10087,End,End,2011/10/24 16:58:55.006,Variant 1,End,End,End,End,End,End,End
case-10089,Confirmation of receipt,Resource20,2011/10/18 17:12:35.899,Variant 34,Internet,General,Group 2,Resource20,task-43627,complete,Group 1
case-10089,T02 Check confirmation of receipt,Resource20,2011/10/18 17:14:00.020,Variant 34,Internet,General,Group 2,Resource20,task-43748,complete,EMPTY
case-10089,T04 Determine confirmation of receipt,Resource20,2011/10/18 17:14:55.271,Variant 34,Internet,General,Group 2,Resource20,task-43751,complete,EMPTY
case-10089,T05 Print and send confirmation of receipt,Resource20,2011/10/18 17:15:26.326,Variant 34,Internet,General,Group 2,Resource20,task-43755,complete,Group 2
case-10089,T06 Determine necessity of stop advice,Resource20,2011/10/18 17:16:01.203,Variant 34,Internet,General,Group 2,Resource20,task-43749,complete,Group 1
case-10089,T10 Determine necessity to stop indication,Resource20,2011/10/18 17:16:30.526,Variant 34,Internet,General,Group 2,Resource20,task-43759,complete,Group 1
case-10089,T11 Create document X request unlicensed,admin2,2011/10/24 13:02:20.931,Variant 34,Internet,General,Group 2,Resource20,task-43760,complete,Group 1
case-10089,End,End,2011/10/24 13:02:20.931,Variant 34,End,End,End,End,End,End,End
case-10090,Confirmation of receipt,Resource03,2011/10/24 17:25:16.886,Variant 1,Internet,General,Group 8,Resource01,task-43906,complete,EMPTY
case-10090,T02 Check confirmation of receipt,Resource03,2011/10/24 17:25:48.093,Variant 1,Internet,General,Group 8,Resource01,task-44319,complete,Group 4
case-10090,T04 Determine confirmation of receipt,Resource03,2011/10/24 17:26:08.810,Variant 1,Internet,General,Group 8,Resource01,task-44321,complete,Group 3
case-10090,T05 Print and send confirmation of receipt,Resource03,2011/10/24 17:26:35.495,Variant 1,Internet,General,Group 8,Resource01,task-44322,complete,Group 2
case-10090,T06 Determine necessity of stop advice,Resource03,2011/10/24 17:27:22.161,Variant 1,Internet,General,Group 8,Resource01,task-44320,complete,Group 1
case-10090,T10 Determine necessity to stop indication,Resource03,2011/10/24 17:27:44.390,Variant 1,Internet,General,Group 8,Resource01,task-44323,complete,Group 1
case-10090,End,End,2011/10/24 17:27:44.390,Variant 1,End,End,End,End,End,End,End
case-10094,Confirmation of receipt,Resource03,2011/10/25 16:07:27.732,Variant 1,Internet,General,Group 8,Resource11,task-43907,complete,EMPTY
case-10094,T02 Check confirmation of receipt,Resource03,2011/10/25 16:07:50.830,Variant 1,Internet,General,Group 8,Resource11,task-44511,complete,Group 4
case-10094,T04 Determine confirmation of receipt,Resource03,2011/10/25 16:08:07.876,Variant 1,Internet,General,Group 8,Resource11,task-44513,complete,Group 3
case-10094,T05 Print and send confirmation of receipt,Resource03,2011/10/25 16:08:27.483,Variant 1,Internet,General,Group 8,Resource11,task-44514,complete,Group 2
case-10094,T06 Determine necessity of stop advice,Resource03,2011/10/25 16:08:48.537,Variant 1,Internet,General,Group 8,Resource11,task-44512,complete,Group 1
case-10094,T10 Determine necessity to stop indication,Resource03,2011/10/25 16:09:15.981,Variant 1,Internet,General,Group 8,Resource11,task-44515,complete,Group 1
case-10094,End,End,2011/10/25 16:09:15.981,Variant 1,End,End,End,End,End,End,End
case-10098,Confirmation of receipt,Resource03,2011/10/25 17:06:58.586,Variant 1,Internet,General,Group 8,Resource11,task-44006,complete,EMPTY
case-10098,T02 Check confirmation of receipt,Resource03,2011/10/25 17:07:20.077,Variant 1,Internet,General,Group 8,Resource11,task-44538,complete,Group 4
case-10098,T04 Determine confirmation of receipt,Resource03,2011/10/25 17:07:48.289,Variant 1,Internet,General,Group 8,Resource11,task-44540,complete,Group 3
case-10098,T05 Print and send confirmation of receipt,Resource03,2011/10/25 17:08:23.484,Variant 1,Internet,General,Group 8,Resource11,task-44541,complete,Group 2
case-10098,T06 Determine necessity of stop advice,Resource03,2011/10/25 17:08:54.842,Variant 1,Internet,General,Group 8,Resource11,task-44539,complete,Group 1
case-10098,T10 Determine necessity to stop indication,Resource03,2011/10/25 17:09:21.982,Variant 1,Internet,General,Group 8,Resource11,task-44542,complete,Group 1
case-10098,End,End,2011/10/25 17:09:21.982,Variant 1,End,End,End,End,End,End,End
case-10099,Confirmation of receipt,Resource03,2011/10/26 10:04:38.421,Variant 1,Internet,General,Group 8,Resource11,task-44008,complete,EMPTY
case-10099,T02 Check confirmation of receipt,Resource03,2011/10/26 10:04:58.466,Variant 1,Internet,General,Group 8,Resource11,task-44588,complete,Group 4
case-10099,T04 Determine confirmation of receipt,Resource03,2011/10/26 10:05:15.074,Variant 1,Internet,General,Group 8,Resource11,task-44590,complete,Group 3
case-10099,T05 Print and send confirmation of receipt,Resource03,2011/10/26 10:05:29.235,Variant 1,Internet,General,Group 8,Resource11,task-44591,complete,Group 2
case-10099,T06 Determine necessity of stop advice,Resource03,2011/10/26 10:05:43.792,Variant 1,Internet,General,Group 8,Resource11,task-44589,complete,Group 1
case-10099,T10 Determine necessity to stop indication,Resource03,2011/10/26 10:07:16.656,Variant 1,Internet,General,Group 8,Resource11,task-44592,complete,Group 1
case-10099,End,End,2011/10/26 10:07:16.656,Variant 1,End,End,End,End,End,End,End
case-10101,Confirmation of receipt,Resource03,2011/10/26 12:44:51.917,Variant 1,Internet,General,Group 8,Resource11,task-44010,complete,EMPTY
case-10101,T02 Check confirmation of receipt,Resource03,2011/10/26 12:45:23.672,Variant 1,Internet,General,Group 8,Resource11,task-44664,complete,Group 4
case-10101,T04 Determine confirmation of receipt,Resource03,2011/10/26 12:45:54.899,Variant 1,Internet,General,Group 8,Resource11,task-44666,complete,Group 3
case-10101,T05 Print and send confirmation of receipt,Resource03,2011/10/26 12:46:16.939,Variant 1,Internet,General,Group 8,Resource11,task-44667,complete,Group 2
case-10101,T06 Determine necessity of stop advice,Resource03,2011/10/26 12:46:40.098,Variant 1,Internet,General,Group 8,Resource11,task-44665,complete,Group 1
case-10101,T10 Determine necessity to stop indication,Resource03,2011/10/26 12:47:15.161,Variant 1,Internet,General,Group 8,Resource11,task-44668,complete,Group 1
case-10101,End,End,2011/10/26 12:47:15.161,Variant 1,End,End,End,End,End,End,End
case-10102,Confirmation of receipt,Resource02,2011/10/20 12:06:16.081,Variant 1,Internet,General,Group 5,Resource02,task-43717,complete,EMPTY
case-10102,T02 Check confirmation of receipt,Resource02,2011/10/27 14:46:27.098,Variant 1,Internet,General,Group 5,Resource02,task-43960,complete,EMPTY
case-10102,T04 Determine confirmation of receipt,Resource02,2011/10/27 14:46:49.205,Variant 1,Internet,General,Group 5,Resource02,task-44912,complete,Group 3
case-10102,T05 Print and send confirmation of receipt,admin1,2011/10/27 16:11:16.295,Variant 1,Internet,General,Group 5,Resource02,task-44913,complete,Group 2
case-10102,T06 Determine necessity of stop advice,Resource02,2011/11/17 09:13:20.068,Variant 1,Internet,General,Group 5,Resource02,task-43961,complete,Group 1
case-10102,T10 Determine necessity to stop indication,Resource02,2011/11/17 09:14:21.708,Variant 1,Internet,General,Group 5,Resource02,task-46924,complete,Group 1
case-10102,End,End,2011/11/17 09:14:21.708,Variant 1,End,End,End,End,End,End,End
case-10103,Confirmation of receipt,Resource02,2011/11/15 08:20:14.205,Variant 1,Internet,General,Group 5,Resource02,task-43718,complete,EMPTY
case-10103,T02 Check confirmation of receipt,Resource02,2011/11/15 08:20:38.880,Variant 1,Internet,General,Group 5,Resource02,task-46638,complete,Group 4
case-10103,T04 Determine confirmation of receipt,Resource02,2011/11/15 08:21:00.327,Variant 1,Internet,General,Group 5,Resource02,task-46640,complete,Group 3
case-10103,T05 Print and send confirmation of receipt,Resource02,2011/11/15 08:21:22.524,Variant 1,Internet,General,Group 5,Resource02,task-46641,complete,Group 2
case-10103,T06 Determine necessity of stop advice,Resource02,2011/11/15 08:42:16.335,Variant 1,Internet,General,Group 5,Resource02,task-46639,complete,Group 1
case-10103,T10 Determine necessity to stop indication,Resource02,2011/11/15 08:42:43.828,Variant 1,Internet,General,Group 5,Resource02,task-46642,complete,Group 1
case-10103,End,End,2011/11/15 08:42:43.828,Variant 1,End,End,End,End,End,End,End
case-10105,Confirmation of receipt,Resource03,2011/10/26 15:45:46.454,Variant 1,Internet,General,Group 8,Resource11,task-44050,complete,EMPTY
case-10105,T02 Check confirmation of receipt,Resource03,2011/10/26 15:46:05.211,Variant 1,Internet,General,Group 8,Resource11,task-44690,complete,Group 4
case-10105,T04 Determine confirmation of receipt,Resource03,2011/10/26 15:46:20.612,Variant 1,Internet,General,Group 8,Resource11,task-44692,complete,Group 3
case-10105,T05 Print and send confirmation of receipt,Resource03,2011/10/26 15:46:39.019,Variant 1,Internet,General,Group 8,Resource11,task-44693,complete,Group 2
case-10105,T06 Determine necessity of stop advice,Resource03,2011/10/26 15:46:55.969,Variant 1,Internet,General,Group 8,Resource11,task-44691,complete,Group 1
case-10105,T10 Determine necessity to stop indication,Resource03,2011/10/26 15:47:17.500,Variant 1,Internet,General,Group 8,Resource11,task-44694,complete,Group 1
case-10105,End,End,2011/10/26 15:47:17.500,Variant 1,End,End,End,End,End,End,End
case-10120,Confirmation of receipt,Resource05,2011/10/25 10:56:31.704,Variant 1,Internet,General,Group 5,Resource05,task-44018,complete,EMPTY
case-10120,T02 Check confirmation of receipt,Resource05,2011/10/25 10:57:00.379,Variant 1,Internet,General,Group 5,Resource05,task-44401,complete,Group 4
case-10120,T04 Determine confirmation of receipt,Resource05,2011/10/25 12:34:25.395,Variant 1,Internet,General,Group 5,Resource05,task-44403,complete,EMPTY
case-10120,T05 Print and send confirmation of receipt,Resource05,2011/10/25 12:34:46.250,Variant 1,Internet,General,Group 5,Resource05,task-44423,complete,Group 2
case-10120,T06 Determine necessity of stop advice,Resource05,2011/10/25 12:35:58.954,Variant 1,Internet,General,Group 5,Resource05,task-44402,complete,Group 1
